Legal Entity,Investor,Vehicle
Nordvik Infrastructure V US B USD SCSp,Wickmere State Retirement Investment Fund,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US B USD SCSp,Vanworth Pension Investment Commission,Nordvik Infrastructure V US B USD SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR Blocker SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V US Non-QFPF EUR Blocker - Initial Partner
Nordvik Infrastructure V US Non-QFPF EUR Blocker SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US Non-QFPF EUR Blocker General Partner
Nordvik Infrastructure V US Non-QFPF EUR Blocker SCSp,Nordvik Infrastructure V US Non-QFPF EUR SCSp,NIP V US Non-QFPF EUR Blocker - Initial Partner
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Haslwold FAR & Thurberg [Vossmont FAR 21HUT0],Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Haslwold Vie [Vossmont DOK 01WEG0],Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Roskcombe Finance II Yardthorpe S.à r.l.,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Roskcombe Global Diversified Infrastructure Equity Fund II SCSp,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Roskcombe Global Real Assets and Private Markets Fund S.A. SICAV-RAIF - Roskcombe Global Infrastructure,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Roskcombe Clangarth Infrastrukturfonds GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Roskcombe Private Markets SCSp SICAV-RAIF-Fennbury I,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Rendale-POV Fund SCS, SICAV-MAZ - Infrastruktur I",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,VEM Infrastrukturfonds GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,ApS Glanworth,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,ApS HET,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,ApS ZOF,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,DOJ Infrastructure 2023,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,THURBURY ASSURANCE VIE,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,THURBURY RETRAITE,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Brinshaw. Haldcombe Harrdale Davhurst,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NI V SP Invest K/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NI V Sponsor Investor F&F K/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NI V Sponsor Investor II K/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NI V Sponsor Investor US K/S,NIP V US Non-QFPF EUR - Initial Partner
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NIP Affiliated Managers ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NIP Global Energy Transition Aggregator - I,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NIP Holding 8 ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V US Non-QFPF EUR - Initial Partner
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - AIV Compartment,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nordvik Infrastructure V Feeder SCA SICAV-RAIF - EUR Compartment,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US Non-QFPF EUR General Partner
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Havnvik Invest AIF-QUARTHORPE - Institutional Fund Administration 1,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Havnvik Invest SICAV-SIF - Alternatives - Global Denhurst,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ashwold International S.A. acting on behalf of Ashwold Infrastruktur Tarnmere FCP-FIS - Teilfonds 1,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,XAC SCSp,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,ZAL Infrastructure I AS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,BEV Private Capital Haslstead GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,RENVALE SICAV-RAIF - JIB Infrastruktur Teilfonds,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,RENVALE SICAV-RAIF - BAG Infrastruktur Teilfonds,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,VANCOMBE Holding ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ferrgarth ömsesidig livförsäkring,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ferrgarth ömsesidig sakförsäkring,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ferrgarth Tjänstepension AB,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Kelmvale Infra Fonds SCSp SICAV-RAIF,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,KAV Stanbury SCSp SICAV-RAIF,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Umbbeck Invest Kapitalanlagegesellschaft mbH acting for the account of the fund HEB-XUJ-Fonds (grenworth HEB-XUJ 5-Selstead),Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,KELMGARTH 2023 GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"HEB-Infrastruktur-Clanthorpe Manager-Fonds III S.C.S., SICAV-RAIF",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Infrastructure Access Portfolio-L 5 SCSp SICAV-RAIF - Teilfonds Impact,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Norfield Kapitalanlagegesellschaft mbh acting for the account of Marhurst,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nethgarth ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Brinbury Lindford GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Kelmley Covwold Wickvale Garrthorpe Nethvale fund,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Fairley Drayford jerrshaw westdale,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Kirkvale pensionsstiftelse,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Havcombe Bank Co., Ltd.",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Lammdale Investment Corporation, solely in its capacity as agent for the Ministry of Alderdale and Finance of the Republic of Lammdale",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Korea
Nordvik Infrastructure V US Non-QFPF EUR SCSp,KUN Tjänstepensionsförsäkring AB (grenberg),Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,ZIX SCSp,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,WUW Tarnmont A/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,HUV Holding A/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Clanwick Private Equity ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,FUN A/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Dunwick – The Workers Social Insurance Fund Ltd. (Under Special Management),Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Dunwick - The Workers Social Insurance Fund Ltd. (Under Special Management) on behalf of Chalbury and Wickvale Provident Fund 526,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,MOR Holding ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"KEG Bank, Ltd.",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,TAD Private Markets GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,RIF Global Diversified V K/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,RIF Infrastructure Feeder Fund V SCSp,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Nethstead Liabilities Fund Limited,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,JOJ Private Markets GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"MOQ Infra S.C.S., SICAV-RAIF - MOQ Infrastruktur I",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Zellvale II GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Grenbury NI V Investment Trust. No.1(EUR), acting by its trustee, NongHyup Bank",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Grenbury NI V Investment Trust. No.2(KRW), acting by its trustee, NongHyup Bank",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,YARDSHAW NIQ LTD.,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Thurley,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Lammcombe ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Hollmere HIJ Infrastructure Eddfield Limited,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Hollvale Carrford Renewables ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Garrmere Fennfield Trust Bank Limited,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,GOW-Lammmere SCS SICAV-RAIF-HUL 1- GOW-Lammmere I,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ostwold Bank BRACKEN,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"The Fairwick-zellbeck NIQ Insurance Company, Limited",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,The Lammdale Development Bank,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"Loswick Steenwold & Caldcombe Kirkhurst Insurance Co., Ltd.",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,BAQ Private Markets GmbH,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NEX NI V ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,NEX Invest ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class C
Nordvik Infrastructure V US Non-QFPF EUR SCSp,"KELMSTEAD Capital Partners S.A., SICAV-RAIF - Infrastructure Equity Stanthorpe",Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Lanmont-Investment-Quarstead mbH acting in its own name for the account of PENBECK Private Markets Fonds - 575B01 Infrastruktur Equity,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Ordinary Share
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Lanmont-Investment-Yardthorpe S.A. acting in its own name and for the account of INFRASTRUKTUR-VEJ-Fonds FCP-FIS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,LEN-Havford Global SCA SICAV-SIF - Private Infrastructure,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Aeroven Wind Systems A/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,VUW Holding A/S,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Carrbeck Invest ApS,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF EUR SCSp,Ormley Versicherungs-AG,Nordvik Infrastructure V US Non-QFPF EUR SCSp - Class A
Nordvik Infrastructure V US Non-QFPF USD Feeder SCSp,NI V Sponsor Investor US K/S,NIP V US Non-QFPF USD Feeder - Initial Partner
Nordvik Infrastructure V US Non-QFPF USD Feeder SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,NIP V US Non-QFPF USD Feeder - Initial Partner
Nordvik Infrastructure V US Non-QFPF USD Feeder SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US Non-QFPF USD Feeder General Partner
Nordvik Infrastructure V US QFPF EUR SCSp,Dunbury Eastbury N.V.,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Ferrvale - Wickstead Pensionskasse,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Larchberg Insurance Company,Nordvik Infrastructure V US QFPF EUR SCSp - Larchberg Insurance (Infrastructure)
Nordvik Infrastructure V US QFPF EUR SCSp,Larchberg Insurance Company,Nordvik Infrastructure V US QFPF EUR SCSp - Class A (Climate)
Nordvik Infrastructure V US QFPF EUR SCSp,Selmere LUQ-fonden (Second Selgarth National Pension Fund - LUQ2),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,LUQ Pension livsforsikringsaktieselskab,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 11",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 12",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 2 / MOF 201",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 2 / MOF 202",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 22",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 35",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 36",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 37",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 39",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 5",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 7",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Pensionskassen Aktiengesellschaft, QOF 9",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Vorsorgekasse BRACKEN, MOF 1",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"DUNDALE Vorsorgekasse BRACKEN, MOF 2",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Fairhurst LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Lammley LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Grenford Thurworth LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Roskworth Merrford LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Nethbeck Merrford LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Nethbeck Merrford LP (side car),Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Wrenvale LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Lanworth & Westcombe LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Lanfield to Trentholm Carrworth LP,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,NI V Sponsor Investor K/S,NORDVIK INFRASTRUCTURE V US QFPF EUR SCSp - Class B
Nordvik Infrastructure V US QFPF EUR SCSp,NI V Sponsor Investor PD K/S,NORDVIK INFRASTRUCTURE V US QFPF EUR SCSp - Class B
Nordvik Infrastructure V US QFPF EUR SCSp,NI V Sponsor Investor US K/S,NIP V US QFPF EUR - Initial Partner
Nordvik Infrastructure V US QFPF EUR SCSp,NI V Sponsor Investor US K/S,NORDVIK INFRASTRUCTURE V US QFPF EUR SCSp - Class B
Nordvik Infrastructure V US QFPF EUR SCSp,Umbcombe Nethstead Pension Geldale,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Nordvik Infrastructure V GP S.à r.l.,NIP V US QFPF EUR General Partner
Nordvik Infrastructure V US QFPF EUR SCSp,Nordvik Infrastructure V GP S.à r.l.,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Nordvik Infrastructure V USD Feeder K/S,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Wrenley Investment Pte. Ltd.,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Larchford LUQ-fonden,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Ferrbury Investment Corporation,Nordvik Infrastructure V US QFPF EUR SCSp - Ordinary shares
Nordvik Infrastructure V US QFPF EUR SCSp,Bramstead Investment Pte. Ltd,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Haslley Tjänstepensionsförening,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Garrdale Ormberg Quarworth Garrhurst Central Pension Fund Ltd. (Under Special Management),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Garrdale Yardwick Pension and Provident Center Cooperative Society Ltd. (Under Special Management),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,MOS Private Markets 13 SICAV-RAIF S.C.A.,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Cantbury Pension – pensionskassen for innstead,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Brinwick Pension Forsikringsaktieselskab,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,LAF Central Value Bramford/Opportunistic Infrastructure Partnership LP,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Gelcombe Borough Of Wrenthorpe Pension Fund,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Gelcombe LAF MET Ltd in its capacity as alternative investment fund manager of NAN Renewable Infrastructure Fund being an exempt unauthorised unit trust scheme,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"RON-Fonds S.A., SICAV-FIS - RON-Alternatives 2",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Dunwick – The Workers Social Insurance Fund Ltd. (Under Special Management),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Mutuelle Quarbeck (Chalthorpe Bramberg),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Tarnvik National Retirement Service,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,National Treasury Management Agency (as aldercombe and manager of the Davmont Marbeck Investment Fund),Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,WID GP Investor AS,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,WID Draymere Funds AS,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Wickmere Alternative Markets SCS SICAV-FIS – Wickmere Alternative Markets VIII,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Wickdale Pensionsforsikringsaktieselskab,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"HIQ Pension, forsikringsaktieselskab",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"Hollmere B Infrastructure Eddfield Fund III, LP",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Stichting Algemeen Pensioenfonds TOC,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Stichting Pensioenfonds Denberg Renmont,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Eddcombe Pension Scheme Trustee Limited acting as Trustee of Eddcombe Pension Scheme,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,University of Losthorpe Dunhurst Covdale and NIQ Assurance Scheme,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,GAD LUF Corp.,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,"JAK Alternative Investments S.A., SICAV-RAIF, sub-fund I",Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,Losmere Asset Management Limited,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
Nordvik Infrastructure V US QFPF EUR SCSp,XON Alternative Investment Fund I,Nordvik Infrastructure V US QFPF EUR SCSp - Class A
